Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter,,
Conference,"Print, Packaging, Graphics",DecTec Mexico,5 Nov 2019,10:00 AM - 05:00 PM,5-Nov-18,20-Nov,Mexico,Guadalajara,The Westin Guadalajara,,,https://www.awa-bv.com/product/awa-dectec-mexico-2019/,,conferences@awa-bv.com,"An Exclusive Event For Seminar Supporters And Their Customers/Clients AWA Decorative Technologies Seminar  short, DecTec, is a label and product decoration and packaging technology seminar. An exclusive event for supporters of the seminar and their customers and clients. AWA DecTec Mexico 2019 is a seminar by invitation only, for customers of Gallus, Rotometrics, Accraply and UPM. https://www.awa-bv.com/product/awa-dectec-mexico-2019/",,Eligibility Criteria: Invitation-only event Open to industry professionals Fees: Contact required for further information,Sponsorship opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Conference,"Print, Packaging, Graphics",AWA Asia Release Liner Industry Seminar,2 Dec 2019,09:00 AM - 06:15 PM,,20-Nov,China,Shanghai,Grand Mercure Shanghai Century Park,,,https://www.awa-bv.com/product/asia-label-release-liner-industry-seminar-2019/,,conferences@awa-bv.com,"The Perfect Platform for Label and Release Liner Industry The AWA Asia Release Liner Industry Seminar is the perfect platform for all individuals and organizations who are associated with the pressure-sensitive label and release liner market. This can include but is not limited to suppliers, producers, and end-users. The prime location and timing of the event aims to draw industry professionals from around the globe. https://www.awa-bv.com/product/asia-label-release-liner-industry-seminar-2019/",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $150,Sponsorship opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Trade Show & Conference,"Print, Packaging, Graphics",Global Release Liner Industry Conference & Exhibition,27 Feb 2020-28 Feb 2020,09:00 AM - 06:00 PM,1-3 May 2019,TBD,Netherlands ,Amsterdam,Novotel Amsterdam City,,,https://www.awa-bv.com/product/global-release-liner-conference-and-exhibition-2020/,,conferences@awa-bv.com,"The Worlds Only Release Liner Industry Conference Its your meeting place to share ideas, market developments and network with colleagues across the value chain. It combines in-depth insights into todays release liner markets and applications, growth areas and opportunities within the industry. https://www.awa-bv.com/product/global-release-liner-conference-and-exhibition-2020/",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $1.095 Group Registration (3+ Attendees from same company) - $1.495,Sponsorship and exhibition opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Trade Show & Conference,"Print, Packaging, Graphics",International Sleeve Label Conference & Exhibition,29 Apr 2020-1 May 2020,TBD,1-2 Apr 2019,Apr-May 2021,USA,Cincinnati,TBD,,,https://www.awa-bv.com/product/international-sleeve-label-conference-and-exhibition-2020/,,conferences@awa-bv.com,"Enhancing Brand Value & Green Shrink Sleeve Labeling The AWA International Sleeve Label Conference & Exhibition is your opportunity to network with the right partners and customers for your business. ISLCE 2020 will feature exciting keynote speakers, panel discussions, exhibition and networking sessions, and the presentation of the AWA ISLCE Sleeve Awards. https://www.awa-bv.com/product/international-sleeve-label-conference-and-exhibition-2020/",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $850 Group Registration (3+ Attendees from same company) - $1.095,Sponsorship and exhibition opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Conference,"Print, Packaging, Graphics",Lamination of Flexible Materials for Packaging Seminar,10 Sep 2019-11 Sep 2019,09:00 AM - 06:00 PM,13-14 Aug 2014,Aug-Sep 2024,USA,Chicago,SpringHill Suites Chicago O'Hare,,,https://seminarsforengineers.com/seminars/lamination-of-flexible-materials-for-packaging/,+1 973 287 4900,info@SeminarsforEngineers.com,Two Day Seminar on Lamination Technologies Lamination of Flexible Materials for Packaging is designed to give engineers and others an understanding of lamination processes and the properties of the resultant laminates utilized in flexible packaging. Monolayer flexible materials often fall short in delivering the needed properties. Lamination is an important technique utilized to combine materials to assure that the finished packaging materials demonstrate properties needed for packaged products. https://seminarsforengineers.com/seminars/lamination-of-flexible-materials-for-packaging/,,Eligibility Criteria: Open to industry professionals Fees: Early Bird Rate - $1.095 Standard Rate - $1.295,,,,,,,,,
Conference,"Print, Packaging, Graphics",SiP Conference China,10 Sep 2019-11 Sep 2019,09:00 AM - 05:00 PM,17-19 Oct 2018,Sep-Oct 2020,China,Shenzhen,The Westin Shenzhen Nanshan Hotel,257,,http://www.cetimes.com/sip/en/index.html,+86 755 88311466,jolie.lin@ubm.com,"The Most Prominent SiP Conference in China SiP Conference China is organized by Shenzhen UBM Creativity Exhibition Co., Ltd. It is widely regarded as the most prominent SiP Conference in China. The highly informative annual gathering offers the best in electronic system design and SiP packaging expertise and all aspects of the SiP design chain, including assembly and test from OSAT, EMS, OEMs, IDM, fabless semiconductor companies and silicon foundries as well as material and equipment suppliers. http://www.cetimes.com/sip/en/index.html",,Eligibility Criteria: Open to industry professionals Fees: Early Bird Before 6/30/2019 - $480 Early Bird Before 8/15/2019 - $530 Attendance Fee - $580 Group Fee (5 person or above) - $430,Sponsorship Fees: Packages vary between $4.830 - $29.800 Exhibitor Fees: Tabletop Exhibit Early Bird Rate - $1.338 Standard Rate - $1.610 Sponsor/Exhibitor Registration,,,,,,,,
Conference,"Print, Packaging, Graphics",Think Ahead,16 Sep 2019-18 Sep 2019,10:00 AM - 07:00 PM (16 Sep 2019)|09:30 AM - 06:00 PM (17 Sep 2019)|09:15 AM - 03:00 PM (18 Sep 2019),18-Sep,20-Sep,USA,Boca Raton,Boca Raton Resort & Club,600,,https://www.thinkforum.com/attend,+1 312 245 1061,info@thinkforum.com,"An Invitation-Only Event Designed for Canon Solutions America Inkjet Customers The annual thINK conference has grown every year, and to mark its fifth anniversary, we've given our signature event a fresh look and a new name: thINK Ahead 2019. https://www.thinkforum.com/who-we-are",,Eligibility Criteria: Invitation-only event Open to industry professionals Fees: Contact required for further information,Sponsorship Fees: Packages vary between $1.000 - $20.000 Sponsorship Registration,,https://www.youtube.com/channel/UCrJ2-KbrOnqjcA6nqiohraQ,https://www.facebook.com/Think-Forum-1606723876266507/?fref=ts,,https://www.linkedin.com/company/10049260?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10049260%2Cidx%3A3-2-6%2CtarId%3A1463413902167%2Ctas%3Athink%20fo,https://twitter.com/thINK_Forum?lang=en,,
Trade Show & Conference,"Print, Packaging, Graphics",European Microelectronics and Packaging Conference (EMPC) & Exhibition,16 Sep 2019-19 Sep 2019,02:00 PM - 06:00 PM (16 Sep 2019)|08:30 AM - 06:00 PM (17 Sep 2019-18 Sep 2019)|08:30 AM - 04:00 PM (19 Sep 2019),16-19 Sep 2018,20-Sep,Italy,Pisa,Pisa Conference Centre,,,http://www.empc2019.org/home-page-it,+39 382 309579,info@empc2019.org,"The Best of Microelectronics Packaging and Interconnection Technologies EMPC-2019 in Pisa offers the best of microelectronics packaging and interconnection technologies, providing top quality coverage of technological innovation in this field. The four days will comprise Tutorials/Short Courses and the Conference and Exhibition. The event will be complemented by social events for which IMAPS has a great tradition. http://www.empc2019.org/home-page-it","Cyber Technologies GmbH ,Aurel ,ATV Technologie GmbH ,Fondazione Inphotec ,GS Nanotech ,Haiku Tech Europe ,Stmicroelectronics ,Zuken SRL ,Neohm Componenti ,Electron Mec ,Ase Group ,Aemtec GmbH ,Disco Hi-Tec Europe GmbH ,IEEE ,Namics Europe GmbH ,Pactech ,Saes Getters ,Microtest ,Imaps ,Elexind",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Members IMAPS/IEEE/AEIT 2019 - 599 Member Speakers (oral/poster) IMAPS/IEEE/AEIT 2019 - 400 Not members - 699 Not member Speakers (oral/poster) - 499 Students/Phd Students (not speakers) - $200 Welcome Cocktail (additional/students) - 35 Lunch buffet (additional/students) - 30 each Gala dinner (additional/students) - 125 Sponsors and Keynotes Dinner - 200 Exhibition only - Free (Registration is mandatory),Sponsorship Fees: Packages vary between 500 - 18.000 Exhibitor Fees: Shell scheme (3x2 m) - 3.600 + VAT,,,,,,,,
Conference,"Print, Packaging, Graphics",CEPE Annual Conference + General Assembly,18 Sep 2019-20 Sep 2019,07:00 PM - 10:00 PM (18 Sep 2019)|09:00 AM - 05:00 PM (19 Sep 2019)|09:30 AM - 12:00 PM (20 Sep 2019),26-28 Sep 2018,20-Sep,Malta,St. Julian's,InterContinental Malta,,,https://www.european-coatings.com/Events/CEPE-Annual-Conference-General-Assembly-2019,+49 511 9910-270,amanda.beyer@vincentz.net,"Trends and Hands that Shape the Future Industrial manufacturing is in turmoil due to business pressures, market trends, and new technologies. This development has also left its mark on our industry. This year's CEPE Conference will address a range of issues that will impact on our industry, with a particular focus on the trends and hands that will shape our future. https://www.european-coatings.com/Events/CEPE-Annual-Conference-General-Assembly-2019",,Eligibility Criteria: Open to industry professionals Fees: CEPE Annual Conference incl. Welcome Reception AND CEPE Night CEPE Member - 970 Non-member - 1.190 CEPE Annual Conference incl. Welcome Reception WITHOUT CEPE Night CEPE Member - 850 Non-member - 1.100 Accompanying person - +250,,,,https://www.facebook.com/EUROPEAN-COATINGS-977388862305460/?fref=ts,,http://www.linkedin.com/groups/European-Coatings-Industry-3704315?trk=myg_ugrp_ovr,http://www.twitter.com/EC_JOURNAL,,
Conference,"Print, Packaging, Graphics",ISTA China Packaging Symposium,18 Sep 2019-20 Sep 2019,09:00 AM - 06:00 PM (18 Sep 2019-19 Sep 2019)|07:30 AM - 12:00 PM (20 Sep 2019),,20-Sep,China,Shenzhen,Vienna Royal Hotel Shenzhen,,,https://ista.org/china_packaging_symposium.php,+1 517 333 3437,ista@ista.org,"A Symposium on International Transport Packaging Technology The Symposium will focus on the developing international transport packaging technology. The topics include ISTA test procedures and application, reliability research, e-commerce packaging, lean management on transport packaging, standardization research, transport packaging design, testing for cold-chain and sustainable development of transport packaging. The Symposium is based on professional practice and sharing the cases by various enterprises. https://ista.org/china_packaging_symposium.php#","LAB ,Labtone ,SGS ,Vibration Research ,Lansmont",Eligibility Criteria: Open to industry professionals Fees: Rate - RMB 4.700 ISTA Member Discounted Rate - RMB 3.200,Sponsorship and exhibition opportunities available Contact required for further information Sponsor/Exhibitor Registration,,,,,https://www.linkedin.com/company/ista-international-safe-transit-association-?trk=top_nav_home,https://twitter.com/ISTAmatters,,
Conference,"Print, Packaging, Graphics",ISTA Omni-Channel Packaging Strategies Conference,2 Oct 2019-3 Oct 2019,08:30 AM - 05:00 PM (2 Oct 2019)|08:30 AM - 12:00 PM (3 Oct 2019),3-4 Oct 2018,20-Oct,USA,Chicago,InterContinental Chicago Magnificent Mile,,,https://ista.org/the_omni-channel_packaging_str.php,+1 517 333 3437,ista@ista.org,Economically and Environmentally Sustainable Packaging Solutions This conference is a forum for stakeholders across the distribution chain to come together to discuss the solutions needed to combat the challenges created by e-commerce and omni-channel distribution. https://ista.org/the_omni-channel_packaging_str.php,,Eligibility Criteria: Open to industry professionals Fees: Early Bird (by August 30) Rate - $895 ISTA Member Discounted Rate - $795 Standard Rate - $995 ISTA Member Discounted Rate - $895,Sponsorship Fees: Premier Conference Sponsor - $5.500 Sponsorship Registration,,,,,https://www.linkedin.com/company/ista-international-safe-transit-association-?trk=top_nav_home,https://twitter.com/ISTAmatters,,
Conference,"Print, Packaging, Graphics",ISTA European Packaging Symposium,5 Mar 2019-7 Mar 2019,09:00 AM - 05:30 (5 Mar 2019-6 Mar 2019)|09:00 AM - 12:00 PM (7 Mar 2019),,20-Mar,Netherlands ,Amsterdam,Amsterdam Marriott Hotel,,,https://ista.org/european_packaging_symposium.php,+1 517 333 3437,ista@ista.org,"Industry 4.0 Packaging Innovation and Impacts in a Transforming World The 2019 Edition of the ISTA European Packaging Symposium will explore Industry 4.0 and its impacts on the distribution of packaged-product systems. The program will provide insight on how the massive shifts under way in commerce, driven by advancements in cyber-physical systems, artificial intelligence, the Internet of Things (IoT), 3D printing, sustainability, and more, will change transport package. https://ista.org/european_packaging_symposium.php",,Eligibility Criteria: Open to industry professionals Fees: Member Discounted Rate (ISTA and NVC Members) - $1.262 Non-Member Rate - $1.377,Sponsorship Fees: Packages vary between 2.500 - 7.500 Sponsorship Registration,,,,,https://www.linkedin.com/company/ista-international-safe-transit-association-?trk=top_nav_home,https://twitter.com/ISTAmatters,,
Conference,"Print, Packaging, Graphics",ISTA Forum,16 Mar 2020-19 Mar 2020,07:30 AM - 05:30 PM,13-16 Mar 2019,21-Mar,USA,Orlando,Disney's Yacht & Beach Club Resorts,,38,https://ista.org/ista_forum.php,+1 517 333 3437,ista@ista.org,"Solutions from World-Leading Experts on the Optimization of Packaging for Transport ISTA's Forum brings together the packaging community through two co-located events, TransPack and TempPack. TransPack provides a balance of valuable presentations, case studies, research and solutions from world-leading experts surrounding the optimization of packaging for transport. TempPack focuses on technical topics related to global temperature controlled performance packaging. https://ista.org/ista_forum.php","ACH Foam Technologies ,Arch Systems ,Cold Chain Technologies ,Crystal Instruments ,EFP LLC ,Emerson Apparatus ,gh Package & Product Testing and Consulting, Inc. ,Great Northern Laminations ,Highlight Industries, Inc. ,L.A.B. Equipment, Inc. ,Lansmont Corporation ,NOVA Chemicals ,Packaging Corporation of America ,Pelican BioThermal Headquarters ,SGS North America ,Sonoco ThermoSafe ,TemperPack ,Veritiv ,Smithers Pira ,Polyfoam Corporation",Eligibility Criteria: Open to industry professionals Fees: Member Discounted Rate - $1.675 Non-Member Rate - $1.080 Educator Registration Rate - $1.225 Student Registration Rate - $800,Sponsorship Fees: Packages vary between $2.500 - $10.000 Exhibitor Fees: Exhibitor Rate - $1.750,https://www.flickr.com/photos/istapics/albums/72157708784039336,,,,https://www.linkedin.com/company/ista-international-safe-transit-association-?trk=top_nav_home,https://twitter.com/ISTAmatters,,
Conference,"Print, Packaging, Graphics",ISTA Asia Pacific Packaging Symposium,24 Oct 2019,10:00 AM - 05:30 PM,17-19 Apr 2018,TBD,Philippines,Manila,Dusit Thani Manila Hotel,,,https://ista.org/asia_pacific_packaging_symposi.php,+1 517 333 3437,ista@ista.org,"Asia's Informative Event on Packaging The discussion topics of Asia Pacific Packaging Symposium will be packaging performance testing applications and research, challenges of protective package design, damage reduction success stories, e-commerce packaging, sustainable packaging development, optimization of packaging systems case studies. https://ista.org/asia_pacific_packaging_symposi.php",,Eligibility Criteria: Open to industry professionals Fees: Rate - $150 ISTA Member Discounted Rate: $100,Sponsorship opportunities available Contact required for further information Sponsorship Registration,,,,,https://www.linkedin.com/company/ista-international-safe-transit-association-?trk=top_nav_home,https://twitter.com/ISTAmatters,,
Conference,"Print, Packaging, Graphics",Annual SUPDMC,22 Sep 2019-25 Sep 2019,02:30 PM - 08:00 PM (22 Sep 2019)|08:45 AM - 12:00 PM (23 Sep 2019)|08:30 AM - 04:30 PM (24 Sep 2019)|08:30 AM - 12:00 PM (25 Sep 2019),14-17 Oct 2018,Sep-Oct 2020,USA,Wilmington,Hotel Ballast,,,https://www.supdmc.org/,+1 910 962 3423,barretts@uncw.edu,"The Opportunity to Seek Information about Operational Issues and Network The first Southeastern Conference was held in Baton Rouge, LA in October, 1976. Initially, there were no vendors in attendance and the conference was funded by attendees and the host school. The entire idea for the annual conference was for the attendees to have the opportunity to seek information from their peers about various operational issues and network so that the sharing of information could be continuous throughout the year. https://www.supdmc.org/about",,Eligibility Criteria: Open to industry professionals Fees: Standard fee - $350 Spouse/guest fee - $225 Retiree fee - $150,Sponsorship Fees: Packages vary between $250 - $4.000 Sponsorship Registration,https://www.supdmc.org/newpage1,,https://facebook.com/supdmc,,,,,
Conference,"Print, Packaging, Graphics",2019 Plastic Applications in Food and Beverage Packaging Summit,24 Sep 2019-25 Sep 2019,09:00 AM - 06:00 PM,5-6 Nov 2018,Autumn 2020,Philippines,Manila,Makati Shangri-La,200,,https://ringierevents.eventbank.com/event/2019-plastic-applications-in-food-and-beverage-packaging-summit-11553/,+886 4 2329 7318 ext. 22,amberchang@ringier.com.hk,"Plastics, Packaging, Profitability As the leading Business Event for packaging, labelling and plastics in Philippine, our Summit helps in pairing brand manufacturers and suppliers with domestic companies, creating a unique business matching opportunity for its exhibitors, speakers and visitors alike. https://ringierevents.eventbank.com/event/2019-plastic-applications-in-food-and-beverage-packaging-summit-11553/",,Eligibility Criteria: Open to industry professionals Fees: Standard Pass - $80 Double Entrance Pass - $145 Triple Entrance Pass - $205 Cocktail reception - $30,Sponsorship opportunities available Contact required for further information Sponsroship Registration,,https://ringierevents.eventbank.com/event/2019-plastic-applications-in-food-and-beverage-packaging-summit-11553/2018-post-event-video.html,,,,,,
Conference,"Print, Packaging, Graphics",Vietnam & Asia Flexible Packaging Summit,26 Sep 2019-27 Sep 2019,08:00 AM - 06:00 PM,,20-Sep,Vietnam,Ho Chi Minh City,Sofitel Saigon Plaza Hotel,15*,,http://www.apexevents.cn/va-packaging/,+86 21 3620 2583,marketing@apexevents.cn,"Boosting Performance on Better Quality, Safety, Sustainability and Profitability Asia Flexible Packaging Summit 2019 aims at gathering together over 150 flexible packaging industry professionals all across the industry supply chain worldwide and providing the opportunity to share and examine the emerging new developments and expanding markets in the Asia Pacific region. There will be a focused group as well from specific industry and research organizations to discuss all the issues during the event with numerous opportunities for networking with top executives worldwide. http://www.apexevents.cn/va-packaging/SummitBackground.html",,Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,Sponsorship opportunities available,http://www.apexevents.cn/va-packaging/PhotoGallery.html,,,,,,,
Conference,"Print, Packaging, Graphics",Printing for Fabrication,29 Sep 2019-3 Oct 2019,09:00 AM - 05:55 (29 Sep 2019-30 Sep 2019)|09:00 AM - 05:10 (1 Oct 2019)|09:00 AM - 05:45 (2 Oct 2019),23-27 Sep 2018,Sep-Oct 2020,USA,San Francisco,Parc 55 San Francisco - A Hilton Hotel,,,http://www.imaging.org/site/IST/IST/Conferences/Print4Fab/Printing_for_Fabrication.aspx,+1 703 642 9090,info@imaging.org,"Materials, Applications, and Processes With the convergence of the tooling used for graphical, mechanical, electrical, and optical properties, IS&Ts Printing for Fabrication Conference provides a forum for experts to exchange, discuss, and advance the understanding of the vast space of printing and the challenges shared by the different approaches. http://www.imaging.org/site/IST/IST/Conferences/Print4Fab/Printing_for_Fabrication.aspx","Kyowa,ImageXpert,Meteor",Eligibility Criteria: Open to industry professionals Fees: Thru 30 August 2019 Member - $855 Registration with membership + JEI - $980 Registration with membership + JIST - $980 Non-member - $980 Student registration with membership + JEI (ID required) - $205 Student registration with membership + JIST (ID required) - $205 One-day (Member/Non-member) - $470 One-day Student (Member/Non-member) - $150 After 30 August 2019 Member - $955 Registration with membership + JEI - $1.080 Registration with membership + JIST - $1.080 Non-member - $1.080 Student registration with membership + JEI (ID required) - $255 Student registration with membership + JIST (ID required) - $255 One-day (Member/Non-member) - $520 One-day Student (Member/Non-member) - $200,"Sponsorship Fees: Packages vary between $500 - $6.500 Exhibitor Fees: Tabletop Exhibit With one full conference registration - $1.700 Exhibit only - $950 Deadline: 30 August 2019 - After that date, $150 will be added to the fee. Sponsor/Exhibitor Registration",,https://www.youtube.com/watch?v=BX9TOrCk35g&feature=youtu.be,,,https://www.linkedin.com/company/society-for-imaging-science-and-technology-is&t-,https://twitter.com/ImagingOrg,,
Conference,"Print, Packaging, Graphics",Technologies for Digital Photo Ful?llment,29 Sep 2019-3 Oct 2019,09:00 AM - 06:00 PM,24-Sep-18,Sep-Oct 2020,USA,San Francisco,Parc 55 San Francisco - A Hilton Hotel,,,http://www.imaging.org/Site/IST/Conferences/TDPF/TDPF_Home.aspx?WebsiteKey=6d978a6f-475d-46cc-bcf2-7a9e3d5f8f82&New_ContentCollectionOrganizerCommon=1#New_ContentCollectionOrganizerCommon,+1 703 642 9090,info@imaging.org,"International Symposium on Developments in Printing and Photography This year TDPF is highlighting the emergence and resurgence of instant printing, with its credit card and square size formats. Instant printing is exposing millennials to the joy of printing and there is optimism that this will become a gateway for broader hard copy printing of larger prints and photo books. http://www.imaging.org/site/IST/IST/Conferences/TDPF/TDPF_Home.aspx",,Eligibility Criteria: Open to industry professionals,,,,,,https://www.linkedin.com/company/society-for-imaging-science-and-technology-is&t-,https://twitter.com/ImagingOrg,,
Conference,"Print, Packaging, Graphics",IS&T Color Imaging Conference,21 Oct 2019-25 Oct 2019,09:00 AM - 05:30 PM,12-16 Nov 2018,Oct-Nov 2020,France,Paris,Centre International de Confrences Sorbonne Universits,,,http://www.imaging.org/site/IST/IST/Conferences/CIC/CIC_Home.aspx,+1 703 642 9090,info@imaging.org,"A Week of Color in Paris The conference begins with two days of extensive short courses on a wide range of topics, as well as an intensive one-day introduction to color science course and a workshop organized by GDR on material appearance. On Tuesday, we offer four participant-generated workshops designed to allow a deeper dive into specific color arenas. The conference committee has put together a very strong technical program with 31 oral papers, 3 invited talks, and 41 interactive (poster) papers, providing a great opportunity to learn, discuss, and share knowledge. http://www.imaging.org/site/IST/IST/Conferences/CIC/CIC_Home.aspx","Image Engineering ,Silios Technologies ,Instrument Systems ,Thouslite",Eligibility Criteria: Open to industry professionals Fees: Thru 22 September 2019 Member - $815 Registration with membership + JEI - $940 Registration with membership + JIST - $940 Non-member - $940 Student registration with membership + JEI (ID required) - $205 Student registration with membership + JIST (ID required) - $205 One-day (Member/Non-member) - $445 One-day Student (Member/Non-member) - $125 After 22 September 2019 Member - $915 Registration with membership + JEI - $1.040 Registration with membership + JIST - $1.040 Non-member - $1.040 Student registration with membership + JEI (ID required) - $255 Student registration with membership + JIST (ID required) - $255 One-day (Member/Non-member) - $495 One-day Student (Member/Non-member) - $175,Sponsorship Fees: Packages vary between $500 - $4.500 Exhibitor Fees: Half-table Size/Exhibit Size For registered authors presenting a paper - Complementary until 22 September, $50 after that date For registered non-author attendees - $50 until 30 August, $100 after that date Sponsor/Exhibitor Registration,,,,,https://www.linkedin.com/company/society-for-imaging-science-and-technology-is&t-,https://twitter.com/ImagingOrg
Conference,"Print, Packaging, Graphics",Electronic Imaging,26 Jan 2020-30 Jan 2020,09:00 AM - 07:00 PM,13-17 Jan 2019,21-Jan,USA,Burlingame,SFO Hyatt Regency Burlingame,,,http://www.imaging.org/site/IST/IST/Conferences/EI/Symposium_Overview.aspx,+1 703 642 9090,info@imaging.org,"Connect with Innovation. Connect with Peers. Connect with Knowledge 2020 marks the 32nd year of IS&T's International Symposium on Electronic Imaging. Over the course of these more than 30 years, many thousands of electronic imaging professionals, representing the myriad facets of imaging science and engineering, have enhanced their skills and advanced their careers through the connections made here. http://www.imaging.org/site/IST/Conferences/EI/EI_2020/Why_Attend.aspx",,Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,,,,,,https://www.linkedin.com/company/society-for-imaging-science-and-technology-is&t-,https://twitter.com/ElectroImaging,,
Conference,"Print, Packaging, Graphics",TAGA Annual Technical Conference,15 Mar 2020-18 Mar 2020,09:00 AM - 07:00 PM,17-20 Mar 2019,21-Mar,USA,Oklahoma City,Sheraton Oklahoma City Downtown Hotel,,,https://www.taga.org/annual-technical-conference,,taga@printing.org,"Technologies at the Leading Edge of the Graphic Communications Explore the latest technical research projects and engage in robust discussions about their potential impact with the top minds in the industry. Interact with dozens of bright, tech-savvy university students from TAGA student chapters anxious to get their start in our industry. https://www.taga.org/annual-technical-conference/#about",,Eligibility Criteria: Open to industry professionals,Sponsorship Fees: Conference Sponsor - $2.500 Student Sponsor - $500 Sponsorship Registration,,,,https://www.instagram.com/tagaatc/,https://www.linkedin.com/company/technical-association-of-the-graphic-arts/,https://twitter.com/tagaatc,,
Conference,"Print, Packaging, Graphics",Advanced Materials for Fabrication,30 Mar 2020-1 Apr 2020,09:00 AM - 07:00 PM,,Mar-Apr 2021,United Kingdom,Manchester,TBD,,,http://www.imaging.org/site/IST/IST/Conferences/Advanced_Materials/Home.aspx,+1 703 642 9090,info@imaging.org,"Discussions on the Industry's Main Subjects Advanced Materials for Fabrication brings together four tracks around the common theme of materials. These tracks are advanced materials, degradation of materials, materials for security printing, and Institute of Physics Printing & Graphics Science Group Student Conference. http://www.imaging.org/site/IST/IST/Conferences/Advanced_Materials/Home.aspx",,Eligibility Criteria: Open to industry professionals,,,,,,https://www.linkedin.com/company/society-for-imaging-science-and-technology-is&t-,https://twitter.com/ImagingOrg,,
Conference,"Print, Packaging, Graphics",COLOR20 Conference,11 Jan 2020-14 Jan 2020,08:30 AM - 06:00 PM,12-15 Jan 2019,21-Jan,USA,San Diego,Hilton San Diego Resort & Spa,,,https://color.printing.org,,info@printing.org,"Get the Answers Here COLOR20 is where youll get the best insights, the best practices, and the best answers to all of your color questions! Youll discover strategies, tactics, technology, and even a few secrets about finding success in color. And best of all, youll find an incredible community of people who live and breathe the subject. https://color.printing.org/#about",,Eligibility Criteria: Open to industry professionals Fees: PIA Member Conference Package - $995 SGIA Member Conference Package - $995 FTA & TLMI Member Conference Package - $995 Student & Educator Rate - $350,Sponsorship Fees: Silver - $4.500 Gold - $6.500 Platinum - $8.500 Sponsorship Registration,,,https://www.facebook.com/printingindustries,https://www.instagram.com/printingind/,https://www.linkedin.com/company/printing-industries-of-america,https://twitter.com/PrintingInd,,
Conference,"Print, Packaging, Graphics",Continuous Improvement Conference,5 Apr 2020-8 Apr 2020,09:00 AM - 06:00 PM,14-17 Apr 2019,21-Apr,USA,Columbus,Renaissance Columbus Downtown Hotel,,,https://ci.printing.org/,,info@printing.org,"The Only Annual Event Focused on Helping Printing and Converting Companies The 2020 Continuous Improvement Conference (April 58 in Columbus, Ohio) is the only annual event focused on helping custom manufacturers such as printing and converting companies achieve operational excellence by using the concepts of Lean manufacturing and other management and quality systems. Year after year attendees directly link reduced costs, lowered waste, and increased profit margins to ideas gained from conference presentations and networking. https://ci.printing.org/#about",,Eligibility Criteria: Open to industry professionals,Sponsorship Fees: Silver - $2.500 Gold - $4.500 Platinum - $6.500 Sponsorship Registration,,,https://www.facebook.com/printingindustries,https://www.instagram.com/printingind/,https://www.linkedin.com/company/printing-industries-of-america,https://twitter.com/PrintingInd,,
Conference,"Print, Packaging, Graphics",London Editor Symposium,3 Oct 2019-4 Oct 2019,02:00 AM - 07:00 PM (3 Oct 2019)|09:00 AM - 03:30 PM (4 Oct 2019),,20-Oct,United Kingdom,London,Park Inn by Radisson,,,http://wileyeditorsymposium.com/london/,+44 1243 770273,editors@wiley.com,"A Platform for Editors and Publishers London Editor Symposium aims to give Editors and Publishers a chance to meet, share insights into the publishing process and explore how we are raising standards to transform and adapt against the backdrop of global challenges in science and society. http://wileyeditorsymposium.com/london/",,Eligibility Criteria: Open to industry professionals,,,,https://www.facebook.com/JohnWileySons/,,,https://twitter.com/thewileynetwork,,
Conference,"Print, Packaging, Graphics",European Envelope Manufacturers Association Annual Congress,3 Oct 2019-5 Oct 2019,08:30 AM - 12:30 PM (3 Oct 2019-4 Oct 2019)|09:00 AM - 12:00 PM (5 Oct 2019),13-15 Sep 2019,Sep-Oct 2020,Portugal,Porto,Sheraton Porto Hotel & Spa,,,http://www.fepe.org/?nodeId=99743,+32 2 779 4001,info@fepe.org,"An Event Focusing on the Trends Impacting the Envelope Industry Described as ""edgy but opulent"", Porto entices with its historic centre, riverside views and sumptuous food and wine. A beautiful setting, a diverse conference programme and ample networking opportunities will guarantee that this year's congress is one not to be missed by the envelope industry and its suppliers. http://www.fepe.org/?nodeId=99743",,"Eligibility Criteria: Open to industry professionals Fees: FEPE Member (manufacturer) - 850 + VAT before 7/6, 1.050 + VAT after 7/6 FEPE Member (supplier) - 1.050 before + VAT before 7/6, 1.250 + VAT after 7/6 Manufacturer non-member - 1.050 + VAT before 7/6, 1.250 + VAT after 7/6 Partner/Spouse - 450 + VAT before 7/6, 525 + VAT after 7/6",,,,,,,,,
